"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', ('Annotation Error',))","('Eval', ('Jaccard Index',))","('Eval', ('Rand Index',))","('Eval', ('event-based f1 under pa with mode log', 'f1'))","('Eval', ('event-based f1 under pa with mode log', 'precision'))","('Eval', ('event-based f1 under pa with mode log', 'recall'))","('Eval', ('best f1 under pa', 'f1'))","('Eval', ('best f1 under pa', 'precision'))","('Eval', ('best f1 under pa', 'recall'))","('Eval', ('Run Length MSE',))","('Eval', ('Run Length MSRE',))","('Eval', ('Detection Delay', 'delay_mean'))","('Eval', ('Detection Delay', 'delay_std'))","('Eval', ('Detection Delay', 'delay_pct(90)'))","('Eval', ('Detection Delay', 'delay_pct(70)'))","('Eval', ('Detection Delay', 'delay_pct(50)'))","('Eval', ('Detection Delay', 'delay_pct(30)'))","('Eval', ('Detection Delay', 'delay_pct(10)'))"
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,3.8,0.4608987017799014,0.859647829519373,0.46666666666666606,0.3666666666666666,0.8499999999999991,0.46666666666666606,0.3666666666666666,0.8499999999999991,15878.584491114703,120.54256218462399,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ReportPoint,No,,,,,,,,,,,,84.4,10.925657874929088,95.28,89.75999999999999,86.3,79.6,72.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,RunLength,No,,,,,,,,,,15725.087883683358,120.01447024277745,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,bee_waggle_6,ChangePoint,No,2.0,0.7671619982463295,0.9211493876660394,0.015999999999999983,0.008064516129032258,0.9999999999999996,0.015999999999999983,0.008064516129032258,0.9999999999999996,7007.176567656766,83.70887986143863,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,bee_waggle_6,ReportPoint,No,,,,,,,,,,,,84.5,67.5,138.5,111.5,84.5,57.5,30.5
Naive,BinSeg,TS4CD,AlanTuringTCPD,bee_waggle_6,RunLength,No,,,,,,,,,,6984.085808580858,83.57084305295034,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ChangePoint,No,6.2,0.38295679402993976,0.7981848501692859,0.010785116037405526,0.005523017190743691,0.8333333333333328,0.010785116037405526,0.005523017190743691,0.8333333333333328,45020.08612191958,207.2161523107071,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,,,,,,,,,,,,33.99761904761905,21.992926074230304,58.56,45.059999999999995,29.1,18.56,11.54
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,RunLength,No,,,,,,,,,,44725.10791180286,206.51126165391398,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,3.4,0.598008053755159,0.9230063109581181,0.06406431663574506,0.05233009479431465,0.7672727272727271,0.06406431663574506,0.05233009479431465,0.7672727272727271,3878.6674698795177,59.725306436425456,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,,,,,,,,,,,,105.53050505050506,57.29863510980939,169.64000000000001,136.83999999999997,99.8,75.88,49.32
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,RunLength,No,,,,,,,,,,3828.439759036145,59.357517678134215,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,2.25,0.39611479722930354,0.8647787085773593,0.02532507163788164,0.01282814575374196,0.9999999999999996,0.02532507163788164,0.01282814575374196,0.9999999999999996,2555.109422492401,50.539770397281465,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,,,,,,,,,,,,105.54166666666667,20.258716173791473,122.525,117.075,111.625,98.875,86.125
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,RunLength,No,,,,,,,,,,2512.679331306991,50.11866629488838,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,0.6,0.8014037090684806,0.9318952062430323,0.024298664222164562,0.012317468974810774,0.9999999999999997,0.024298664222164562,0.012317468974810774,0.9999999999999997,1606.4486666666667,40.046993098889295,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,,,,,,,,,,,,39.95,11.491544392256444,50.2,44.2,39.6,35.14,29.979999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,RunLength,No,,,,,,,,,,1587.1466666666668,39.807148600062725,,,,,,,
