"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', 'eval_item')","('Eval', 'value')"
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('Annotation Error',)",3.8
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('Jaccard Index',)",0.4608987017799014
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('Rand Index',)",0.859647829519373
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.46666666666666606
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.3666666666666666
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.8499999999999991
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('best f1 under pa', 'f1')",0.46666666666666606
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('best f1 under pa', 'precision')",0.3666666666666666
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('best f1 under pa', 'recall')",0.8499999999999991
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('Run Length MSE',)",15878.584491114703
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ChangePoint,No,"('Run Length MSRE',)",120.54256218462399
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ReportPoint,No,"('Detection Delay', 'delay_mean')",84.4
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ReportPoint,No,"('Detection Delay', 'delay_std')",10.925657874929088
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",95.28
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",89.75999999999999
Naive,BinSeg,TS4CD,AlanTuringTCPD,apple,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",86.3
